"Year","Population"
1982,60834114
1983,61662215
1984,62416762
1985,63265245
1986,64193658
1987,65191422
1988,66303652
1989,67387219
1990,68361664
1991,69239300
1992,70000358
1993,70647163
1994,71330236
1995,72138224
1996,73012155
1997,73790469
1998,74544001
1999,75369679
2000,76242589
2001,77215450
2002,78102872
2003,78997949
2004,79862507
2005,80859667
2006,82018927
2007,83510720
2008,85239801
2009,86947040
2010,88272718
2011,89563750
2012,91136353
2013,92689141
2014,94085111
2015,95450476
2016,96976926
2017,98553086
2018,100058548
2019,101558299
2020,102541211
2021,102813784
2022,104399558
2023,106948274
