"","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory"
"Jun-1981",NA,NA,NA,NA,NA,NA,NA,NA
"Sep-1981",14566,10416,22269,2466,11228,701,2570,1201
"Dec-1981",17439,11065,20466,3941,8937,358,2532,702
"Mar-1982",19225,12428,18412,3494,9479,1162,1875,1506
"Jun-1982",17461,12044,18231,2438,9199,400,721,2055
"Sep-1982",12266,9861,18326,2982,9197,463,1203,733
"Dec-1982",12375,9956,13563,3693,6875,666,1267,1218
"Mar-1983",15806,12567,13234,4410,6903,691,1745,1995
"Jun-1983",8932,10448,12573,3582,7176,1140,1387,1992
"Sep-1983",10785,9483,11091,3778,6194,1104,2026,1072
"Dec-1983",11171,9313,9912,3655,5767,1191,1577,1905
"Mar-1984",14265,11711,10158,3303,4867,1078,1147,1516
"Jun-1984",13549,10283,10416,3537,5359,1582,1488,1636
"Sep-1984",13807,10057,12117,2563,6580,1106,1780,1147
"Dec-1984",15216,11091,11102,2722,5215,1204,1359,825
"Mar-1985",19797,12101,12374,3388,7345,1254,1369,1755
"Jun-1985",12963,10327,11766,2476,8187,1504,1874,2550
"Sep-1985",13742,9728,12150,2127,8806,720,2060,2057
"Dec-1985",18213,10625,13732,3514,9530,1028,1760,2462
"Mar-1986",19910,10632,13105,3479,10354,1147,928,1377
"Jun-1986",15149,9803,14390,2233,11765,750,1137,1625
"Sep-1986",18402,11086,11882,2290,9394,852,1150,1635
"Dec-1986",24323,11900,12301,2659,8985,910,1007,1643
"Mar-1987",21956,13572,13876,2937,9507,362,1197,1865
"Jun-1987",20529,12697,12453,2328,9343,629,430,1424
"Sep-1987",23163,13596,13022,3183,9046,147,937,1898
"Dec-1987",26320,11238,15387,3012,8061,447,-102,1412
"Mar-1988",23178,15040,20476,3370,12221,752,-81,2170
"Jun-1988",17912,12584,15915,2580,9591,576,67,1172
"Sep-1988",23022,17807,20482,3796,12875,757,778,958
"Dec-1988",21923,14924,20480,3618,10872,876,732,1018
"Mar-1989",17466,14678,25976,4615,10798,1151,514,1762
"Jun-1989",6563,10186,20792,2091,8722,1326,129,565
"Sep-1989",9342,13373,19408,2642,9752,1572,495,1038
"Dec-1989",17454,14688,16962,3790,8039,1580,423,1749
"Mar-1990",15072,16323,20163,4080,9734,1660,441,1440
"Jun-1990",15870,14044,15113,2515,7090,2118,1190,1552
"Sep-1990",15513,12591,14255,3441,6799,1281,664,1460
"Dec-1990",12963,9524,15175,3385,4542,1051,655,1341
"Mar-1991",20751,12703,18799,4489,6967,1350,309,2288
"Jun-1991",15483,6963,13439,2928,4710,932,137,2020
"Sep-1991",17983,9036,15033,2738,6679,934,1223,1197
"Dec-1991",11358,5674,14457,1825,4662,813,327,1006
"Mar-1992",18314,10058,19881,3298,6836,884,1074,1961
"Jun-1992",11436,5076,12876,1282,4300,546,429,1403
"Sep-1992",12932,4619,17951,736,6211,464,555,1200
"Dec-1992",7069,3383,15989,1063,3760,815,1319,432
"Mar-1993",12601,5046,24193,654,5735,606,899,2685
"Jun-1993",4631,-499,14854,737,4472,123,389,549
"Sep-1993",14604,2028,19658,1674,6250,587,1176,277
"Dec-1993",10512,1944,15143,796,5376,409,706,460
"Mar-1994",16925,4272,20379,1455,8186,160,647,923
"Jun-1994",7723,1979,15201,532,6115,356,671,781
"Sep-1994",18239,6389,17582,625,8871,473,635,940
"Dec-1994",8814,3827,14729,263,5029,104,1218,155
"Mar-1995",16038,8084,19437,786,9358,335,1931,2099
"Jun-1995",17650,6371,19066,577,8159,104,910,450
"Sep-1995",19088,8726,17737,419,8722,426,1096,1042
"Dec-1995",19323,10967,16626,846,7145,207,2131,142
"Mar-1996",15835,10220,17764,1338,8512,134,1030,1490
"Jun-1996",16655,7411,13685,1136,7761,323,657,1117
"Sep-1996",19790,9496,15407,1255,8248,126,1713,598
"Dec-1996",18297,8424,11980,1663,7102,-202,1113,428
"Mar-1997",19755,12452,13198,2445,9789,-85,881,255
"Jun-1997",11964,3941,11640,1216,4996,-536,1532,-377
"Sep-1997",14600,8878,13767,1713,6459,-380,939,-275
"Dec-1997",14099,7981,11210,1632,6128,-313,565,23
"Mar-1998",20294,14716,13089,3134,9884,-233,802,745
"Jun-1998",10539,6098,11001,1133,5628,-552,844,506
"Sep-1998",18312,10338,11592,1310,8263,0,798,200
"Dec-1998",14679,12037,11429,2462,5375,20,687,568
"Mar-1999",21762,15807,14691,2687,8225,-261,861,1166
"Jun-1999",14551,7310,11740,1205,5633,-159,761,705
"Sep-1999",17997,13164,12463,2096,8097,151,795,662
"Dec-1999",16871,11955,14635,2188,4232,113,950,598
"Mar-2000",21855,17979,16113,1610,8106,9,547,1300
"Jun-2000",14732,8505,12311,675,4722,-180,845,504
"Sep-2000",19056,14371,13988,1431,6991,-88,667,844
"Dec-2000",19467,12419,14224,1195,6447,165,229,862
"Mar-2001",28763,22870,18796,2170,8764,462,744,1585
"Jun-2001",16505,9890,15003,1162,4979,6,954,1012
"Sep-2001",14542,12437,19500,1531,5940,-138,252,404
"Dec-2001",13593,14160,20234,2833,5538,360,-244,932
"Mar-2002",16812,18728,20248,2188,7183,328,129,1313
"Jun-2002",5511,8834,21672,1554,3577,-66,371,440
"Sep-2002",9852,12609,23747,2095,4465,474,-182,628
"Dec-2002",8782,14641,23921,2061,5633,1372,-520,695
"Mar-2003",16271,19190,22448,2847,8221,1578,-481,1133
"Jun-2003",5003,9595,19882,1829,5910,958,657,274
"Sep-2003",6823,14017,21988,1794,6689,1295,56,30
"Dec-2003",6971,12350,23451,2534,6700,1582,-73,209
