"Quarter","Year","State","Population_Increase"
"Jun",1981,"New South Wales",11516
"Jun",1981,"Victoria",7302
"Jun",1981,"Queensland",6191
"Jun",1981,"South Australia",2474
"Jun",1981,"Western Australia",3579
"Jun",1981,"Tasmania",-274
"Jun",1981,"Northern Territory",733
"Jun",1981,"Australian Capital Territory",847
"Sep",1981,"New South Wales",9559
"Sep",1981,"Victoria",7353
"Sep",1981,"Queensland",4920
"Sep",1981,"South Australia",2155
"Sep",1981,"Western Australia",3379
"Sep",1981,"Tasmania",-480
"Sep",1981,"Northern Territory",510
"Sep",1981,"Australian Capital Territory",777
"Dec",1981,"New South Wales",9181
"Dec",1981,"Victoria",7191
"Dec",1981,"Queensland",4756
"Dec",1981,"South Australia",2359
"Dec",1981,"Western Australia",3375
"Dec",1981,"Tasmania",-810
"Dec",1981,"Northern Territory",664
"Dec",1981,"Australian Capital Territory",856
"Mar",1982,"New South Wales",11081
"Mar",1982,"Victoria",8492
"Mar",1982,"Queensland",6331
"Mar",1982,"South Australia",2374
"Mar",1982,"Western Australia",3639
"Mar",1982,"Tasmania",-106
"Mar",1982,"Northern Territory",675
"Mar",1982,"Australian Capital Territory",842
"Jun",1982,"New South Wales",11097
"Jun",1982,"Victoria",7310
"Jun",1982,"Queensland",6081
"Jun",1982,"South Australia",2294
"Jun",1982,"Western Australia",3751
"Jun",1982,"Tasmania",-626
"Jun",1982,"Northern Territory",529
"Jun",1982,"Australian Capital Territory",786
"Sep",1982,"New South Wales",8270
"Sep",1982,"Victoria",5808
"Sep",1982,"Queensland",4827
"Sep",1982,"South Australia",1886
"Sep",1982,"Western Australia",3330
"Sep",1982,"Tasmania",-555
"Sep",1982,"Northern Territory",617
"Sep",1982,"Australian Capital Territory",785
"Dec",1982,"New South Wales",10933
"Dec",1982,"Victoria",7572
"Dec",1982,"Queensland",5350
"Dec",1982,"South Australia",2197
"Dec",1982,"Western Australia",3340
"Dec",1982,"Tasmania",-328
"Dec",1982,"Northern Territory",531
"Dec",1982,"Australian Capital Territory",809
"Mar",1983,"New South Wales",12635
"Mar",1983,"Victoria",8082
"Mar",1983,"Queensland",6857
"Mar",1983,"South Australia",2619
"Mar",1983,"Western Australia",3685
"Mar",1983,"Tasmania",-487
"Mar",1983,"Northern Territory",676
"Mar",1983,"Australian Capital Territory",811
"Jun",1983,"New South Wales",10994
"Jun",1983,"Victoria",7916
"Jun",1983,"Queensland",6926
"Jun",1983,"South Australia",2404
"Jun",1983,"Western Australia",3961
"Jun",1983,"Tasmania",156
"Jun",1983,"Northern Territory",606
"Jun",1983,"Australian Capital Territory",812
"Sep",1983,"New South Wales",9047
"Sep",1983,"Victoria",7339
"Sep",1983,"Queensland",5906
"Sep",1983,"South Australia",2261
