"","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory"
"Jun-1981",-6330,-3330,8558,-1675,680,-274,1806,565
"Sep-1981",-7768,-4897,11740,-1846,2002,-480,1264,-15
"Dec-1981",-4528,-4354,10128,-988,441,-810,935,-824
"Mar-1982",-3824,-3393,7005,-602,494,-106,468,-42
"Jun-1982",-3464,-1785,6580,-1439,621,-626,-598,711
"Sep-1982",-5094,-1840,8184,-722,504,-555,-47,-430
"Dec-1982",-4193,-1739,5730,60,394,-328,174,-98
"Mar-1983",-2809,-1196,3430,140,34,-487,285,603
"Jun-1983",-5085,-361,3487,194,578,156,118,913
"Sep-1983",-2955,-1221,2932,406,444,54,569,-229
"Dec-1983",-3333,-1139,3080,88,221,105,394,584
"Mar-1984",-1565,-155,2310,-185,-263,-5,-221,84
"Jun-1984",-2414,-825,1637,244,330,541,-16,503
"Sep-1984",-2640,-1255,3683,-601,443,106,417,-153
"Dec-1984",-1646,-1167,3639,-673,-67,147,2,-235
"Mar-1985",-1219,-2328,3401,-156,370,14,-237,155
"Jun-1985",-3823,-1049,2197,-887,1224,510,426,1402
"Sep-1985",-3549,-2754,4012,-659,2104,-284,466,664
"Dec-1985",-3641,-4159,4607,-197,2032,21,371,966
"Mar-1986",-2127,-3458,3861,-91,2522,-26,-543,-138
"Jun-1986",-3145,-2830,4020,-470,2770,151,-787,291
"Sep-1986",-2476,-3195,4157,-1094,2068,-229,142,627
"Dec-1986",-1397,-3812,4969,-1344,1281,-260,201,362
"Mar-1987",-2887,-3921,6292,-794,1584,-688,15,399
"Jun-1987",-2764,-2177,4300,-745,1643,-331,-478,552
"Sep-1987",-2003,-3371,4950,-48,918,-847,-185,586
"Dec-1987",-3141,-4396,7329,-144,1143,-440,-904,553
"Mar-1988",-4029,-4823,9097,-459,1094,-349,-1093,562
"Jun-1988",-4167,-1833,6344,-589,1119,-288,-947,361
"Sep-1988",-7495,-2076,8992,-333,1590,-194,-143,-341
"Dec-1988",-7594,-3167,9828,138,1425,-232,-141,-257
"Mar-1989",-11342,-5125,15327,573,461,92,-458,472
"Jun-1989",-11543,-2136,12915,-599,1541,537,-727,12
"Sep-1989",-10427,-2340,11289,-170,1338,681,-406,35
"Dec-1989",-9163,-1966,9441,136,872,446,-410,644
"Mar-1990",-8884,-3139,11167,267,716,481,-502,-106
"Jun-1990",-7509,-384,6205,-485,86,1182,148,757
"Sep-1990",-5141,-2322,6175,446,267,412,-332,495
"Dec-1990",-6389,-3208,9002,287,-471,94,49,636
"Mar-1991",-3372,-5335,8867,575,-1111,155,-537,758
"Jun-1991",-2304,-3988,5665,237,-476,155,-332,1043
"Sep-1991",-2989,-4626,7384,156,-185,91,90,79
"Dec-1991",-3719,-4506,9047,-325,-87,-30,-419,39
"Mar-1992",-5164,-5954,11028,50,-293,-154,-56,543
"Jun-1992",-1935,-3341,6640,-539,-749,-196,-584,704
"Sep-1992",-3407,-6596,11467,-1324,534,-417,-431,174
"Dec-1992",-5250,-5120,11289,-810,-230,-44,462,-297
"Mar-1993",-5784,-7738,16153,-2136,-1252,-471,-182,1410
"Jun-1993",-3094,-5934,10253,-940,796,-562,-548,29
"Sep-1993",-2998,-8573,12267,-786,360,-351,126,-45
"Dec-1993",-2895,-6473,10143,-799,842,-490,-215,-113
"Mar-1994",-2330,-8543,12793,-1445,1096,-862,-425,-284
"Jun-1994",-3957,-5606,9733,-948,1527,-404,-361,16
"Sep-1994",-2412,-5694,9339,-1504,1487,-409,-519,-288
"Dec-1994",-3658,-4907,9954,-1357,541,-753,367,-187
"Mar-1995",-4447,-6357,10659,-2214,1698,-746,778,629
"Jun-1995",-2961,-5062,10272,-1994,1375,-748,-242,-640
"Sep-1995",-2527,-4088,8643,-2144,1123,-623,-188,-196
"Dec-1995",-4506,-2698,8898,-1493,317,-614,1068,-972
"Mar-1996",-5522,-3203,9495,-1465,1188,-884,-46,437
"Jun-1996",-2215,-2811,5578,-1090,1438,-469,-506,75
"Sep-1996",-3401,-2606,6409,-1209,1289,-650,647,-467
"Dec-1996",-3241,-1361,5321,-855,994,-919,365,-292
"Mar-1997",-2519,-684,3561,-710,1795,-740,-2,-688
"Jun-1997",-1500,-1544,4314,-544,582,-1016,744,-1023
"Sep-1997",-3144,-539,5274,-468,676,-791,-62,-934
"Dec-1997",-3555,126,4995,-743,727,-864,-139,-536
"Mar-1998",-2425,117,2925,-283,1312,-952,-203,-477
"Jun-1998",-3125,26,4230,-502,512,-1026,-68,-35
