"","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory"
"Jun-1981",9281,5533,4630,1301,3776,194,400,-131
"Sep-1981",13284,8237,4541,2279,5101,268,279,152
"Dec-1981",13295,8505,4514,2692,4375,302,416,383
"Mar-1982",12477,7606,4008,1844,4600,207,215,419
"Jun-1982",10337,6796,4502,1705,4081,153,273,271
"Sep-1982",9593,6164,4244,1950,4584,185,93,80
"Dec-1982",6138,4394,1412,1568,2362,216,22,209
"Mar-1983",6483,5952,1876,1783,2405,188,244,283
"Jun-1983",3526,3164,1089,1116,1858,22,123,-31
"Sep-1983",5174,3664,1187,1253,1607,128,432,199
"Dec-1983",4901,3525,426,1032,979,271,16,120
"Mar-1984",4748,3623,391,829,862,131,87,346
"Jun-1984",5875,3918,1263,855,820,129,297,10
"Sep-1984",7967,5051,2196,948,1673,201,242,193
"Dec-1984",7376,5112,1241,1320,1788,243,140,-52
"Mar-1985",9033,6233,2081,1118,2362,187,350,495
"Jun-1985",6903,3762,2147,943,1971,138,324,22
"Sep-1985",9472,6503,2639,1272,2820,179,386,303
"Dec-1985",11725,7440,2892,1414,3421,222,225,339
"Mar-1986",10523,6925,2733,1201,3249,341,267,511
"Jun-1986",9202,5552,3118,1197,3546,148,327,267
"Sep-1986",12290,7321,3418,1560,4211,208,278,306
"Dec-1986",12826,8440,3250,2005,4507,309,185,442
"Mar-1987",14819,9715,3066,1430,4814,190,315,709
"Jun-1987",12758,7360,3437,1205,3782,163,244,167
"Sep-1987",15572,10088,4387,1464,4757,291,330,545
"Dec-1987",15170,8841,4459,1446,4200,206,98,32
"Mar-1988",18575,11808,6643,1841,6916,335,356,788
"Jun-1988",12173,6515,4953,1201,4972,59,243,77
"Sep-1988",21495,12862,7507,2589,8057,284,316,477
"Dec-1988",16998,10603,5861,1533,6079,184,168,326
"Mar-1989",16594,11191,5637,1708,6773,264,382,439
"Jun-1989",7549,4758,2771,835,3256,24,78,-162
"Sep-1989",14092,8958,4024,1506,4972,159,266,211
"Dec-1989",14459,9150,3434,1749,3728,309,106,258
"Mar-1990",13847,10226,3037,1540,4905,238,280,577
"Jun-1990",9801,5679,2647,967,3233,54,266,-31
"Sep-1990",10649,6884,2596,1168,2951,116,268,224
"Dec-1990",7053,4374,990,1016,1717,59,28,-228
"Mar-1991",12878,9336,4082,1540,4218,272,215,576
"Jun-1991",5916,2919,2075,895,1719,-39,110,-145
"Sep-1991",11509,6637,3210,1103,2982,51,210,110
"Dec-1991",4838,2586,812,477,909,2,-130,-204
"Mar-1992",11443,7741,3291,1127,2866,60,160,384
"Jun-1992",3388,1398,937,190,908,-77,-76,-262
"Sep-1992",6423,3914,2169,634,1815,95,81,-38
"Dec-1992",1890,935,-113,184,336,-38,-86,-321
"Mar-1993",6812,4882,2476,945,2859,182,100,246
"Jun-1993",-2497,-1766,-813,-217,-370,-136,-51,-490
"Sep-1993",8122,3824,2385,937,2221,99,116,97
"Dec-1993",3199,1057,118,163,850,-26,-57,-445
"Mar-1994",8097,4946,2279,899,2952,118,78,170
"Jun-1994",2511,871,459,-5,695,1,58,-240
"Sep-1994",12369,6111,4131,937,3563,175,265,216
"Dec-1994",2602,1405,-160,38,751,-82,-86,-618
"Mar-1995",9776,6915,3049,943,3269,190,117,437
"Jun-1995",11205,4864,3560,965,2925,27,171,95
"Sep-1995",12797,6962,4134,1024,3651,143,238,193
"Dec-1995",14384,7435,2967,980,3203,46,146,53
"Mar-1996",11172,6772,2902,896,3182,115,61,42
"Jun-1996",9692,4523,3048,753,2303,94,124,102
"Sep-1996",13982,7794,4814,1069,3967,164,321,179
"Dec-1996",9484,4343,1946,758,2888,82,67,-190
"Mar-1997",11134,7982,4506,1143,4309,32,125,132
"Jun-1997",2691,959,1354,136,1116,-24,28,-191
"Sep-1997",9222,5593,4116,813,3021,-20,262,-79
"Dec-1997",6668,2683,1831,758,2355,9,-2,-247
"Mar-1998",12292,9464,4901,1382,5019,88,191,360
"Jun-1998",3661,1573,1642,207,1598,-38,109,-276
"Sep-1998",11777,6753,3479,209,4190,120,167,-161
