"Year","State","Population","TotalPopulation","PopulationPercentage"
1982,"Australian Capital Territory",233202.25,15208528.5,1.5333649800505
1982,"New South Wales",5308441.5,15208528.5,34.9043728984037
1982,"Northern Territory",131052,15208528.5,0.86170072272278
1982,"Queensland",2432582,15208528.5,15.994854466032
1982,"South Australia",1332912.75,15208528.5,8.76424533773928
1982,"Tasmania",430143,15208528.5,2.82830123900547
1982,"Victoria",3997278.5,15208528.5,26.2831377802264
1982,"Western Australia",1342916.5,15208528.5,8.83002257581988
1983,"Australian Capital Territory",239497.25,15415553.75,1.5536078293652
1983,"New South Wales",5358911.25,15415553.75,34.7630149192662
1983,"Northern Territory",136976.5,15415553.75,0.888560360668198
1983,"Queensland",2487162.25,15415553.75,16.1341090325737
1983,"South Australia",1347682.25,15415553.75,8.74235380613557
1983,"Tasmania",433369.75,15415553.75,2.81124996888289
1983,"Victoria",4040159.75,15415553.75,26.2083335799728
1983,"Western Australia",1371794.75,15415553.75,8.89877050313551
1984,"Australian Capital Territory",245482.75,15604190.5,1.57318478007558
1984,"New South Wales",5410049.25,15604190.5,34.6704896354604
1984,"Northern Territory",143011.75,15604190.5,0.916495796433657
1984,"Queensland",2530089,15604190.5,16.2141637529996
1984,"South Australia",1361125.75,15604190.5,8.72282192402099
1984,"Tasmania",438218.5,15604190.5,2.80833856777127
1984,"Victoria",4081722.5,15604190.5,26.1578612488741
1984,"Western Australia",1394491,15604190.5,8.93664429436439
1985,"Australian Capital Territory",252395.5,15816311.25,1.59579244496722
1985,"New South Wales",5472695.5,15816311.25,34.601592074764
1985,"Northern Territory",149537.5,15816311.25,0.945463816665849
1985,"Queensland",2577784.5,15816311.25,16.2982661333249
1985,"South Australia",1372520,15816311.25,8.67787677104546
1985,"Tasmania",443069,15816311.25,2.80134219032899
1985,"Victoria",4125006.5,15816311.25,26.080711455397
1985,"Western Australia",1423302.75,15816311.25,8.99895511350663
1986,"Australian Capital Territory",259732,16048414.5,1.61842778923737
1986,"New South Wales",5543020.5,16048414.5,34.5393652438376
1986,"Northern Territory",154963.5,16048414.5,0.96560005974422
1986,"Queensland",2630013.75,16048414.5,16.3879973937612
1986,"South Australia",1383801.5,16048414.5,8.62266799003727
1986,"Tasmania",446939,16048414.5,2.78494177727027
1986,"Victoria",4166923.25,16048414.5,25.9647035537374
1986,"Western Australia",1463021,16048414.5,9.11629619237464
1987,"Australian Capital Territory",266423,16297855.5,1.63471200244719
