"Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
1982,"Australian Capital Territory",3222,979,141
1982,"New South Wales",41381,38545,-16575
1982,"Northern Territory",2352,603,-3
1982,"Queensland",22589,14166,27499
1982,"South Australia",8751,7067,-2703
1982,"Tasmania",3595,761,-1615
1982,"Victoria",29182,24960,-8757
1982,"Western Australia",14060,15627,2013
1983,"Australian Capital Territory",3312,571,1871
1983,"New South Wales",42760,20084,-14182
1983,"Northern Territory",2400,815,1366
1983,"Queensland",25029,4578,12929
1983,"South Australia",9961,5184,828
1983,"Tasmania",3743,609,-172
1983,"Victoria",30563,16305,-3917
1983,"Western Australia",14718,6849,1277
1984,"Australian Capital Territory",3178,497,199
1984,"New South Wales",41134,25966,-8265
1984,"Northern Territory",2644,766,182
1984,"Queensland",23051,5091,11269
1984,"South Australia",9952,3952,-1215
1984,"Tasmania",3537,704,789
1984,"Victoria",29964,17704,-3402
1984,"Western Australia",13123,5143,443
1985,"Australian Capital Territory",3212,1159,3187
1985,"New South Wales",41080,37133,-12232
1985,"Northern Territory",2674,1285,1026
1985,"Queensland",21798,9759,14217
1985,"South Australia",9295,4747,-1899
1985,"Tasmania",3555,726,261
1985,"Victoria",30191,23938,-10290
1985,"Western Australia",14272,10574,5730
1986,"Australian Capital Territory",3074,1526,1142
1986,"New South Wales",42364,44841,-9145
1986,"Northern Territory",2654,1057,-987
1986,"Queensland",22510,12519,17007
1986,"South Australia",9413,5963,-2999
1986,"Tasmania",3496,1006,-364
1986,"Victoria",29987,28238,-13295
1986,"Western Australia",14929,15513,8641
1987,"Australian Capital Territory",3110,1453,2090
1987,"New South Wales",43904,58319,-10795
1987,"Northern Territory",2853,987,-1552
1987,"Queensland",20504,15349,22871
1987,"South Australia",8704,5545,-1731
1987,"Tasmania",3153,850,-2306
1987,"Victoria",29958,36004,-13865
1987,"Western Australia",14452,17553,5288
1988,"Australian Capital Territory",3319,1668,325
1988,"New South Wales",39971,69241,-23285
1988,"Northern Territory",2563,1083,-2324
1988,"Queensland",21758,24964,34261
1988,"South Australia",8465,7164,-1243
1988,"Tasmania",3232,862,-1063
1988,"Victoria",31408,41788,-11899
1988,"Western Australia",15611,26024,5228
1989,"Australian Capital Territory",3157,746,1163
1989,"New South Wales",40730,52694,-42475
1989,"Northern Territory",2592,832,-2001
1989,"Queensland",21626,15866,48972
1989,"South Australia",8262,5798,-60
1989,"Tasmania",3123,756,1756
1989,"Victoria",31623,34057,-11567
1989,"Western Australia",15508,18729,4212
1990,"Australian Capital Territory",3355,542,1782
1990,"New South Wales",46721,41350,-27923
1990,"Northern Territory",2775,842,-637
1990,"Queensland",25547,9270,32549
1990,"South Australia",8925,4691,515
1990,"Tasmania",3330,467,2169
1990,"Victoria",35984,27163,-9053
1990,"Western Australia",15949,12806,598
1991,"Australian Capital Territory",3686,337,1919
1991,"New South Wales",45951,35141,-12384
1991,"Northern Territory",2791,405,-1198
1991,"Queensland",25341,10179,30963
1991,"South Australia",8519,4015,643
1991,"Tasmania",3269,286,371
1991,"Victoria",34100,21478,-18455
1991,"Western Australia",15897,9828,-1859
1992,"Australian Capital Territory",3386,-237,1124
1992,"New South Wales",46780,23144,-15756
1992,"Northern Territory",2968,79,-609
1992,"Queensland",25938,6284,40424
1992,"South Australia",8513,2135,-2623
1992,"Tasmania",3254,40,-811
1992,"Victoria",33819,13988,-21011
1992,"Western Australia",15045,5925,-738
1993,"Australian Capital Territory",3305,-592,1281
1993,"New South Wales",46144,15636,-14771
1993,"Northern Territory",2897,108,-819
1993,"Queensland",26843,4166,48816
1993,"South Australia",8283,1828,-4661
1993,"Tasmania",3184,119,-1874
1993,"Victoria",33017,7997,-28718
