"Quarter","Year","State","Natural_Increase","Net_Overseas_Migration","Net_Interstate_Migration"
"Jun",1981,"New South Wales",11516,9281,-6330
"Jun",1981,"Victoria",7302,5533,-3330
"Jun",1981,"Queensland",6191,4630,8558
"Jun",1981,"South Australia",2474,1301,-1675
"Jun",1981,"Western Australia",3579,3776,680
"Jun",1981,"Tasmania",962,194,-274
"Jun",1981,"Northern Territory",733,400,1806
"Jun",1981,"Australian Capital Territory",847,-131,565
"Sep",1981,"New South Wales",9559,13284,-7768
"Sep",1981,"Victoria",7353,8237,-4897
"Sep",1981,"Queensland",4920,4541,11740
"Sep",1981,"South Australia",2155,2279,-1846
"Sep",1981,"Western Australia",3379,5101,2002
"Sep",1981,"Tasmania",927,268,-480
"Sep",1981,"Northern Territory",510,279,1264
"Sep",1981,"Australian Capital Territory",777,152,-15
"Dec",1981,"New South Wales",9181,13295,-4528
"Dec",1981,"Victoria",7191,8505,-4354
"Dec",1981,"Queensland",4756,4514,10128
"Dec",1981,"South Australia",2359,2692,-988
"Dec",1981,"Western Australia",3375,4375,441
"Dec",1981,"Tasmania",880,302,-810
"Dec",1981,"Northern Territory",664,416,935
"Dec",1981,"Australian Capital Territory",856,383,-824
"Mar",1982,"New South Wales",11081,12477,-3824
"Mar",1982,"Victoria",8492,7606,-3393
"Mar",1982,"Queensland",6331,4008,7005
"Mar",1982,"South Australia",2374,1844,-602
"Mar",1982,"Western Australia",3639,4600,494
"Mar",1982,"Tasmania",1075,207,-106
"Mar",1982,"Northern Territory",675,215,468
"Mar",1982,"Australian Capital Territory",842,419,-42
"Jun",1982,"New South Wales",11097,10337,-3464
"Jun",1982,"Victoria",7310,6796,-1785
"Jun",1982,"Queensland",6081,4502,6580
"Jun",1982,"South Australia",2294,1705,-1439
"Jun",1982,"Western Australia",3751,4081,621
"Jun",1982,"Tasmania",887,153,-626
"Jun",1982,"Northern Territory",529,273,-598
"Jun",1982,"Australian Capital Territory",786,271,711
"Sep",1982,"New South Wales",8270,9593,-5094
"Sep",1982,"Victoria",5808,6164,-1840
"Sep",1982,"Queensland",4827,4244,8184
"Sep",1982,"South Australia",1886,1950,-722
"Sep",1982,"Western Australia",3330,4584,504
"Sep",1982,"Tasmania",844,185,-555
"Sep",1982,"Northern Territory",617,93,-47
"Sep",1982,"Australian Capital Territory",785,80,-430
"Dec",1982,"New South Wales",10933,6138,-4193
"Dec",1982,"Victoria",7572,4394,-1739
"Dec",1982,"Queensland",5350,1412,5730
"Dec",1982,"South Australia",2197,1568,60
"Dec",1982,"Western Australia",3340,2362,394
"Dec",1982,"Tasmania",789,216,-328
"Dec",1982,"Northern Territory",531,22,174
"Dec",1982,"Australian Capital Territory",809,209,-98
"Mar",1983,"New South Wales",12635,6483,-2809
"Mar",1983,"Victoria",8082,5952,-1196
"Mar",1983,"Queensland",6857,1876,3430
"Mar",1983,"South Australia",2619,1783,140
"Mar",1983,"Western Australia",3685,2405,34
"Mar",1983,"Tasmania",1001,188,-487
"Mar",1983,"Northern Territory",676,244,285
"Mar",1983,"Australian Capital Territory",811,283,603
"Jun",1983,"New South Wales",10994,3526,-5085
"Jun",1983,"Victoria",7916,3164,-361
"Jun",1983,"Queensland",6926,1089,3487
"Jun",1983,"South Australia",2404,1116,194
"Jun",1983,"Western Australia",3961,1858,578
"Jun",1983,"Tasmania",973,22,156
"Jun",1983,"Northern Territory",606,123,118
"Jun",1983,"Australian Capital Territory",812,-31,913
"Sep",1983,"New South Wales",9047,5174,-2955
"Sep",1983,"Victoria",7339,3664,-1221
"Sep",1983,"Queensland",5906,1187,2932
"Sep",1983,"South Australia",2261,1253,406
"Sep",1983,"Western Australia",3324,1607,444
"Sep",1983,"Tasmania",938,128,54
"Sep",1983,"Northern Territory",488,432,569
"Sep",1983,"Australian Capital Territory",795,199,-229
"Dec",1983,"New South Wales",10084,4901,-3333
"Dec",1983,"Victoria",7226,3525,-1139
"Dec",1983,"Queensland",5340,426,3080
"Dec",1983,"South Australia",2677,1032,88
"Dec",1983,"Western Australia",3748,979,221
"Dec",1983,"Tasmania",831,271,105
"Dec",1983,"Northern Territory",630,16,394
"Dec",1983,"Australian Capital Territory",894,120,584
"Mar",1984,"New South Wales",11563,4748,-1565
"Mar",1984,"Victoria",8542,3623,-155
"Mar",1984,"Queensland",6391,391,2310
"Mar",1984,"South Australia",2801,829,-185
"Mar",1984,"Western Australia",3449,862,-263
"Mar",1984,"Tasmania",968,131,-5
"Mar",1984,"Northern Territory",744,87,-221
"Mar",1984,"Australian Capital Territory",779,346,84
"Jun",1984,"New South Wales",10569,5875,-2414
"Jun",1984,"Victoria",7489,3918,-825
"Jun",1984,"Queensland",6450,1263,1637
"Jun",1984,"South Australia",2580,855,244
"Jun",1984,"Western Australia",3390,820,330
"Jun",1984,"Tasmania",928,129,541
"Jun",1984,"Northern Territory",670,297,-16
"Jun",1984,"Australian Capital Territory",816,10,503
"Sep",1984,"New South Wales",8998,7967,-2640
"Sep",1984,"Victoria",6524,5051,-1255
"Sep",1984,"Queensland",5113,2196,3683
"Sep",1984,"South Australia",2356,948,-601
"Sep",1984,"Western Australia",3627,1673,443
"Sep",1984,"Tasmania",813,201,106
"Sep",1984,"Northern Territory",567,242,417
"Sep",1984,"Australian Capital Territory",789,193,-153
"Dec",1984,"New South Wales",10004,7376,-1646
"Dec",1984,"Victoria",7409,5112,-1167
"Dec",1984,"Queensland",5097,1241,3639
"Dec",1984,"South Australia",2215,1320,-673
"Dec",1984,"Western Australia",2657,1788,-67
"Dec",1984,"Tasmania",828,243,147
"Dec",1984,"Northern Territory",663,140,2
"Dec",1984,"Australian Capital Territory",794,-52,-235
"Mar",1985,"New South Wales",12501,9033,-1219
"Mar",1985,"Victoria",8459,6233,-2328
"Mar",1985,"Queensland",5767,2081,3401
"Mar",1985,"South Australia",2566,1118,-156
