"Date","Natural_Increase_NSW","Net_Overseas_Migration_NSW","Net_Interstate_Migration_NSW","Change_Over_Previous_Quarter_NSW","Natural_Increase_VIC","Net_Overseas_Migration_VIC","Net_Interstate_Migration_VIC","Change_Over_Previous_Quarter_VIC","Natural_Increase_QLD","Net_Overseas_Migration_QLD","Net_Interstate_Migration_QLD","Change_Over_Previous_Quarter_QLD","Natural_Increase_SA","Net_Overseas_Migration_SA","Net_Interstate_Migration_SA","Change_Over_Previous_Quarter_SA","Natural_Increase_WA","Net_Overseas_Migration_WA","Net_Interstate_Migration_WA","Change_Over_Previous_Quarter_WA","Natural_Increase_TAS","Net_Overseas_Migration_TAS","Net_Interstate_Migration_TAS","Change_Over_Previous_Quarter_TAS","Natural_Increase_NT","Net_Overseas_Migration_NT","Net_Interstate_Migration_NT","Change_Over_Previous_Quarter_NT","Natural_Increase_ACT","Net_Overseas_Migration_ACT","Net_Interstate_Migration_ACT","Change_Over_Previous_Quarter_ACT","Natural_Increase_AUS","Net_Overseas_Migration_AUS","Change_Over_Previous_Quarter_AUS"
"Jun-1981",11516,9281,-6330,NA,7302,5533,-3330,NA,6191,4630,8558,NA,2474,1301,-1675,NA,3579,3776,680,NA,962,194,-274,NA,733,400,1806,NA,847,-131,565,NA,33604,25575,NA
"Sep-1981",9559,13284,-7768,14566,7353,8237,-4897,10416,4920,4541,11740,22269,2155,2279,-1846,2466,3379,5101,2002,11228,927,268,-480,701,510,279,1264,2570,777,152,-15,1201,29580,34141,65417
"Dec-1981",9181,13295,-4528,17439,7191,8505,-4354,11065,4756,4514,10128,20466,2359,2692,-988,3941,3375,4375,441,8937,880,302,-810,358,664,416,935,2532,856,383,-824,702,29262,34482,65440
"Mar-1982",11081,12477,-3824,19225,8492,7606,-3393,12428,6331,4008,7005,18412,2374,1844,-602,3494,3639,4600,494,9479,1075,207,-106,1162,675,215,468,1875,842,419,-42,1506,34509,31376,67581
"Jun-1982",11097,10337,-3464,17461,7310,6796,-1785,12044,6081,4502,6580,18231,2294,1705,-1439,2438,3751,4081,621,9199,887,153,-626,400,529,273,-598,721,786,271,711,2055,32735,28118,62549
"Sep-1982",8270,9593,-5094,12266,5808,6164,-1840,9861,4827,4244,8184,18326,1886,1950,-722,2982,3330,4584,504,9197,844,185,-555,463,617,93,-47,1203,785,80,-430,733,26367,26893,55031
"Dec-1982",10933,6138,-4193,12375,7572,4394,-1739,9956,5350,1412,5730,13563,2197,1568,60,3693,3340,2362,394,6875,789,216,-328,666,531,22,174,1267,809,209,-98,1218,31521,16321,49613
"Mar-1983",12635,6483,-2809,15806,8082,5952,-1196,12567,6857,1876,3430,13234,2619,1783,140,4410,3685,2405,34,6903,1001,188,-487,691,676,244,285,1745,811,283,603,1995,36366,19214,57351
"Jun-1983",10994,3526,-5085,8932,7916,3164,-361,10448,6926,1089,3487,12573,2404,1116,194,3582,3961,1858,578,7176,973,22,156,1140,606,123,118,1387,812,-31,913,1992,34592,10867,47230
"Sep-1983",9047,5174,-2955,10785,7339,3664,-1221,9483,5906,1187,2932,11091,2261,1253,406,3778,3324,1607,444,6194,938,128,54,1104,488,432,569,2026,795,199,-229,1072,30098,13644,45533
