"Location","Year","Total_Rainfall"
"AliceSprings",2008,54.6
"AliceSprings",2009,76.6
"AliceSprings",2010,728.8
"AliceSprings",2011,292.4
"AliceSprings",2012,182.4
"AliceSprings",2013,165
"AliceSprings",2014,226.2
"AliceSprings",2015,343.4
"AliceSprings",2016,54.8
"Brisbane",2008,590.4
"Brisbane",2009,899.6
"Brisbane",2010,1550.8
"Brisbane",2011,827.2
"Brisbane",2012,894.4
"Brisbane",2013,802.2
"Brisbane",2014,498.8
"Brisbane",2015,1122.2
"Brisbane",2016,693
"Brisbane",2017,553.4
"Cairns",2008,122.6
"Cairns",2009,1726.6
"Cairns",2010,2492.8
"Cairns",2011,2046.2
"Cairns",2012,933.4
"Cairns",2013,1042.4
"Cairns",2014,1332
"Cairns",2015,1113.4
"Cairns",2016,243
"Canberra",2007,196.4
"Canberra",2008,480.4
"Canberra",2009,198.2
"Canberra",2010,639.2
"Canberra",2011,338.2
"Canberra",2012,203.3
"Cobar",2009,355.6
"Cobar",2010,275.8
"CoffsHarbour",2009,977.6
"CoffsHarbour",2010,1481.2
"CoffsHarbour",2011,1290.1
"CoffsHarbour",2012,1013.8
"CoffsHarbour",2013,453.6
"CoffsHarbour",2014,146.3
"Darwin",2008,480.2
"Darwin",2009,1402.2
"Darwin",2010,1827
"Darwin",2011,1914.8
"Darwin",2012,929.2
"Darwin",2013,1098.2
"Darwin",2014,1399.6
"Darwin",2015,1406.2
"Darwin",2016,1064.4
"Darwin",2017,843.2
"Hobart",2008,242.6
"Hobart",2009,826
"Hobart",2010,466.6
"Hobart",2014,353.4
"Hobart",2015,431.4
"Hobart",2016,677.2
"Hobart",2017,151.8
"Melbourne",2008,242.2
"Melbourne",2009,460.8
"Melbourne",2010,579.6
"Melbourne",2011,504.4
"Melbourne",2012,448.8
"Melbourne",2013,428
"Melbourne",2014,291.2
"Melbourne",2015,0.2
"Melbourne",2016,422.8
"Melbourne",2017,251.2
"MelbourneAirport",2009,395.8
"MelbourneAirport",2010,693.8
"MelbourneAirport",2011,631.6
"MelbourneAirport",2012,462.8
"MelbourneAirport",2013,504.6
"MelbourneAirport",2014,391
"MelbourneAirport",2015,358.8
"MelbourneAirport",2016,601.4
"MelbourneAirport",2017,224.2
"Mildura",2009,232.6
"Mildura",2010,536
"Mildura",2011,486.4
"Mildura",2012,179.4
"Mildura",2013,198.4
"Mildura",2014,221.6
"Mildura",2015,221
"Mildura",2016,271.4
"Mildura",2017,79.2
"Moree",2009,529.6
"Moree",2010,559
"Moree",2011,631
"Moree",2012,308.4
"Moree",2013,424.6
"Moree",2014,200.2
"Moree",2015,326.2
"Moree",2016,76.4
"MountGambier",2008,39.6
"MountGambier",2009,771
"MountGambier",2010,799.6
"MountGambier",2011,653.4
"MountGambier",2012,588.4
"MountGambier",2013,797.2
"MountGambier",2014,594.4
"MountGambier",2015,474
"MountGambier",2016,106
"NorfolkIsland",2009,760.8
"NorfolkIsland",2010,705.1
"NorfolkIsland",2011,1061.8
"NorfolkIsland",2012,984.2
"NorfolkIsland",2013,761.2
"NorfolkIsland",2014,833.6
"NorfolkIsland",2015,713.6
"NorfolkIsland",2016,425
"Nuriootpa",2009,334.8
"Nuriootpa",2010,449.7
"Nuriootpa",2011,521.2
"Nuriootpa",2012,307.3
"Nuriootpa",2013,383.5
"Nuriootpa",2014,443.5
"Nuriootpa",2015,180.7
"Nuriootpa",2016,66.3
"Perth",2008,346
"Perth",2009,596
"Perth",2010,484.2
"Perth",2011,658.2
"Perth",2012,516
"Perth",2013,759.6
"Perth",2014,604.8
"Perth",2015,595.2
"Perth",2016,680.8
"Perth",2017,357.2
"PerthAirport",2009,611.4
"PerthAirport",2010,379.4
"PerthAirport",2011,719.6
"PerthAirport",2012,607.6
"PerthAirport",2013,693.2
"PerthAirport",2014,608
"PerthAirport",2015,541.8
"PerthAirport",2016,660.4
"PerthAirport",2017,247.8
"Portland",2009,781.8
"Portland",2010,783.2
"Portland",2011,631.4
"Portland",2012,753.2
"Portland",2013,977.6
"Portland",2014,645.6
"Portland",2015,612.8
"Portland",2016,152.6
"Sale",2009,366.6
"Sale",2010,496.2
"Sale",2011,593
"Sale",2012,453.4
"Sale",2013,450.2
"Sale",2014,142.4
"Sydney",2010,119.2
"Sydney",2012,155.8
"Sydney",2013,940.2
"Sydney",2014,763.4
"Sydney",2015,985.2
"Sydney",2016,1068
"Sydney",2017,754.8
"SydneyAirport",2009,674.4
"SydneyAirport",2010,957.2
"SydneyAirport",2011,649.6
"SydneyAirport",2012,744.8
"SydneyAirport",2013,813.2
"SydneyAirport",2014,805.4
"SydneyAirport",2015,794.4
"SydneyAirport",2016,1034
"SydneyAirport",2017,591.2
"Townsville",2008,102
"Townsville",2009,794.2
"Townsville",2010,1054.8
"Townsville",2011,599.4
"Townsville",2012,578.6
"Townsville",2013,234.2
"Townsville",2014,569.6
"Townsville",2015,327.2
"Townsville",2016,259.4
"WaggaWagga",2009,347
"WaggaWagga",2010,879.2
"WaggaWagga",2011,613.6
"WaggaWagga",2012,501.6
"WaggaWagga",2013,339.6
"WaggaWagga",2014,458
"WaggaWagga",2015,635.8
"WaggaWagga",2016,110.4
"Watsonia",2009,566.8
"Watsonia",2010,812
"Watsonia",2011,907.4
"Watsonia",2012,591.8
"Watsonia",2013,443.6
"Watsonia",2014,400.4
"Watsonia",2015,387.2
"Watsonia",2016,633
"Watsonia",2017,255.6
"Williamtown",2009,698.8
"Williamtown",2010,741
"Williamtown",2011,352.8
"Williamtown",2012,273.6
"Williamtown",2013,206.6
"Williamtown",2014,227.8
"Williamtown",2015,581
"Williamtown",2016,138.5
"Woomera",2009,140
"Woomera",2010,239
"Woomera",2011,186.8
"Woomera",2012,71.2
"Woomera",2013,115.8
"Woomera",2014,41.2
"Woomera",2015,61.6
"Woomera",2016,58.1
"Woomera",2017,0
